species,mahseer_type,username,post_date,caption,location_tag,geo_state,geo_confidence,hashtags,is_video,likes,comments,link,scrape_timestamp
Mahseer,Mahseer (unspecified),randyfishingofficial,2024-12-10 12:29:25 UTC,"Here’s the last fish to end the trip with, casting the silver creek shad 50s which specifically made for stream fishing at the strong current scored me this 4lb mahseer. Really appreciated for every single time to have such a moment. Couldn’t asked for more 🙏🏻 . . . Rod : Ceratina 2-5lb Reel : SS AIR 8.1L Lure : SilverCrrekShad 50s Line : Sufix 131 6lb Leader : invisiline 10lb #fish #fishing #fisherman #adventure #Gopro #arowana #shimano #basspro #peacockbass #temensis #mancing #toman #topwaterfishing #tucunaré #youtube #catchandrelease #toman #carpfishing #peacockbassfishing #flyfishing #lur",Locations,Unknown,Low,"fish, fishing, fisherman, adventure, Gopro, arowana, shimano, basspro, peacockbass, temensis, mancing, toman, topwaterfishing, tucunare, youtube, catchandrelease, toman, carpfishing, peacockbassfishing, flyfishing, lurefishing, amazon, bassfishing, arowana, 13fishing, youtuber, nature, Daiwa, DaiwaFishing, DaiwaSingapore, FeelAlive, daiwaambassador",False,"1,218 likes","1,218 likes
randyfishingofficial
Here’s the last fish to end the trip with, casting the silver creek shad 50s which specifically made for stream fishing at the strong current scored me this 4lb mahseer. Really appreciated for every single time to have such a moment. Couldn’t asked for more 🙏🏻
.
.
.
Rod : Ceratina 2-5lb
Reel : SS AIR 8.1L
Lure : SilverCrrekShad 50s
Line : Sufix 131 6lb
Leader : invisiline 10lb
#fish #fishing #fisherman #adventure #Gopro #arowana #shimano #basspro #peacockbass #temensis #mancing #toman #topwaterfishing #tucunaré #youtube #catchandrelease #toman #carpfishing #peacockbassfishing #flyfishing #lurefishing #amazon #bassfishing #arowana #13fishing #youtuber #nature #Daiwa #DaiwaFishing #DaiwaSingapore #FeelAlive #daiwaambassador @daiwa_singapore
65w
rupeisfishing
Beautiful scales
65w
tauru2_vinc3
Shifu,let’s go again 🫣
65w
playinghooky_g
🤩🤩 pretty nice
65w
December 10, 2024
Comments on this post have been limited.",https://www.instagram.com/p/DDZds2yvdjP/,2026-03-15 11:38:19
Mahseer,Golden Mahseer (Tor putitora),,2026-02-24 20:50:59 UTC,"El barbo de oro 👑👑👑  Pocos son los peces que hacen tanto honor a su nombre como el Mahseer dorado...Una criatura legendaria que habita en los ríos de las estribaciones del Himalaya...Un lingote de oro en forma de pez, que aquellos que hemos tenido la fortuna de ir en su busca, sabemos de la dificultad que entraña está empresa... El golden Mahseer no es un pez al uso, el ecosistema en donde habita está condicionado a un hecho meteorológico cíclico que se repite año tras año y que es el Monzón. Las lluvias torrenciales que vienen asociadas a este fenómeno originan que el caudal de los ríos en donde habita este bicho, que ya de por si, son difíciles de comprender, conviertan a este pez en uno d",Locations,Unknown,Low,eltontodelosbarbos,False,448 likes,,https://www.instagram.com/p/DVJ4T16jZeO/,2026-03-15 11:56:40
Mahseer,Mahseer (unspecified),,2021-04-21 18:00:47 UTC,Mahseer fishing in India🇮🇳  We miss this fishing so much this was one of the most amazing places to fish and the best Mahseer fishing in the whole of India.... . . . . . #sportquestholidays #flyfishingtravel #keepemwet #destinationflyfishing #flyfishing #catchandrelease #Travel #traveladventure #FlyFishing #Fishing #lifeoutdoors #lifeadventure #traveladventure #guideline #guideslife #keepemwet #seewhatsoutthere #hardyflyfishing #catchandrelease #FlyFishingJunkie #tugisthedrug #flyfishingaddict #flyfishinglife #flyfishingaddiction #flytying #mahseer #mahseerfishingindia,Locations,Unknown,Low,"sportquestholidays, flyfishingtravel, keepemwet, destinationflyfishing, flyfishing, catchandrelease, Travel, traveladventure, FlyFishing, Fishing, lifeoutdoors, lifeadventure, traveladventure, guideline, guideslife, keepemwet, seewhatsoutthere, hardyflyfishing, catchandrelease, FlyFishingJunkie, tugisthedrug, flyfishingaddict, flyfishinglife, flyfishingaddiction, flytying, mahseer, mahseerfishingindia",False,217 likes,,https://www.instagram.com/p/CN7_K6Ei0Fb/,2026-03-15 11:57:28
Mahseer,Mahseer (unspecified),monster_huks,2025-08-06 10:37:20 UTC,Mahseer Catches are always special 😍⚡ #fishingtrip #fishing #fishingindia #fishingaddict,Locations,Unknown,Low,"fishingtrip, fishing, fishingindia, fishingaddict",False,261 likes,,https://www.instagram.com/p/DNAq3FIvCKf/,2026-03-15 11:58:15
Mahseer,Mahseer (unspecified),,2025-07-07 05:40:09 UTC,Our first Mahseer,Locations,Unknown,Low,,False,112 likes,,https://www.instagram.com/p/DLy5AIOylgk/,2026-03-15 11:59:03
Mahseer,Golden Mahseer (Tor putitora),,2026-02-18 01:38:53 UTC,Fishing in Thailand near the Myanmar border. Bringing out my inner @jeffcurrier65 on this trip. #flyfishing #flyfish #mahseer #goldenmahseer #thailand,Locations,Unknown,Low,"flyfishing, flyfish, mahseer, goldenmahseer, thailand",False,49 likes,,https://www.instagram.com/p/DU4ZCwYEj3l/,2026-03-15 11:59:49
Mahseer,Mahseer (unspecified),angler_sreehari__21,2025-05-16 04:33:43 UTC,🎣 Mahseer fish 🎣  #mahseerfishing #keralaanglers #anglerlife #mahseer #kannur #fishingkerala #fishing @rivermonsters_official @kannurmahseer #mahseer,Locations,Kerala,High,"mahseerfishing, keralaanglers, anglerlife, mahseer, kannur, fishingkerala, fishing, mahseer",False,"1,403 likes",4 comments from Facebook,https://www.instagram.com/p/C-e5bTnTjdP/,2026-03-15 12:00:10
Mahseer,Mahseer (unspecified),,2021-02-20 08:55:36 UTC,Blue Mahseer Fishing .🐟🎣 #catchandrelease #riverfishing,Locations,Unknown,Low,"catchandrelease, riverfishing",False,234 likes,,https://www.instagram.com/p/CLggsQNnMOC/,2026-03-15 12:00:59
Mahseer,Mahseer (unspecified),,2024-12-18 23:50:23 UTC,📸 Mahseer Collection  #mahseer #mahseertankindonesia #bluemahseer #neoheter #aquarium #aquariumphotography #fish #fishphotography #neostracheyi,Locations,Unknown,Low,"mahseer, mahseertankindonesia, bluemahseer, neoheter, aquarium, aquariumphotography, fish, fishphotography, neostracheyi",False,192 likes,,https://www.instagram.com/p/DDvR_ZczMwZ/,2026-03-15 12:03:05
Mahseer,Golden Mahseer (Tor putitora),,2023-07-06 16:29:22 UTC,"Golden Mahseer (37lbs) from the foothills of the Himalayas, Northern India.  May 2023.  Lure caught.  #GoldenMahseer #TheGreatestFish #catchandrelease",Locations,Unknown,Low,"GoldenMahseer, TheGreatestFish, catchandrelease",False,48 likes,,https://www.instagram.com/p/CuXNar7tYZ0/,2026-03-15 12:03:58
