species,source,hashtag,caption,location_tag,extracted_locations,date,link,likes,comments
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","STREAM MASTER
Sebuah produk Kolaborasi antara TANAGO X BAITWELL yang menghadirkan Limited Edition Performance Trucker & Snapback Hat memiliki 2 desain berbeda untuk pecinta sport fishing. 

STREAM MASTER
Ikan Mahseer (Tor Tambroides & Tor Soro) sang raja arus deras dari perairan Indonesia di hadirkan dalam Patch Woven Premium dengan fine edge finishing. Di balut dalam bahan Taslan Polyester yang memiliki laser cut hole, untuk area bernafas kepala anda dengan warna hijau army yang sangat cocok un...",Kapuas Hulu,None detected,2026-03-12,https://www.instagram.com/p/DVxWblLEoXk/,14,2
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","Pelian... another mahseer species our country is blessed with. Not sure what species name its called but to my untrained eyes its almost identical to Kelah of Peninsula Malaysia, but these are only found in Sabah, East Malaysia.

Anyway this species of cyprinid has a really unique history as far as i understand, they were once wiped out critically due to overfishing. But with local initiative especially the tireless work of some heroic individual to establish protected stretch of rivers offlimit...",,None detected,2026-03-11,https://www.instagram.com/p/DVvtDRMCcmk/,49,2
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","Termasuk short boday apa bukan ya hu ?
#mancing #mancingliar #Mahseer",,None detected,2026-03-09,https://www.instagram.com/p/DVptQxsEoBT/,0,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","Deccan Mahseer (Tor khudree) 🐟🌊
.
.
#neolissochilushexagonolepis
#mahseer#indiannativefish
#monsterfish",,None detected,2026-03-08,https://www.instagram.com/p/DVoUowJiduG/,7,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","欢迎芙蓉的老板们来探访《吉罗公主》的城堡🏰 ❤️ 📍Ultima Channa Setia Alam, 12pm-12am

#吉罗 #kelah #mahseer",,None detected,2026-03-05,https://www.instagram.com/p/DVggjojAV-B/,30,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","A stunning Golden Mahseer landed by Dr. Manoj Kumar Karmakar on day two of the trip.

After two fish yesterday and four more today, that makes six fish so far — and we’re only just getting started.

Hopefully even more to come! 

#fishing #goldenmahseer #mahseerfishingindia #catchandrelease #mahseer",,None detected,2026-03-03,https://www.instagram.com/p/DVbhAMFj9Ga/,32,4
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","Ikan ini namanya ikan tawes a.k.a nama lokal tengadak tergolong tidak terlalu langka di habitat tapi sangat jarang sekali menyambar umpan tipuan mancing casting, mungkin dikarenakan mulutnya kecil lurenya size besar.
Teman2 sudah berapa kali hook up dengan tawes ini?

Info tackle 
Reel : Shimano curado 201 Xg
Rod : Storm Adventure extreme 10-20 Lbs
Line : PE 3 kenzi piranha 
Leader : camar fluoro 50 Lbs relix nusantara 
Lure : Astuti relix nusantara
Snap : Lupa
#mancing #mancingliar #wildfishing...",,None detected,2026-03-03,https://www.instagram.com/p/DVaVpB5j1od/,11,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","Ayo siapa yang suka ikan mahseer segera itak ituk gas pritttt 😀.
#fish #mahseer",Indonesia,None detected,2026-03-01,https://www.instagram.com/p/DVWhhaEGVMd/,0,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","Time to collect all the Kelah Biru!! 来收集蓝吉罗咯 🥰

#kelah #mahseer #吉罗",,None detected,2026-02-28,https://www.instagram.com/p/DVTPhNOgVQo/,11,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu","INDIA 
नत्यमव जयते 
DIRECTORATE OF EDUCATION & SPORTS GOVERNMENT OF N.C.T. OF DELHI 
"" NATIONAL SCHOOL GAMES 2025-2026
#sgfi #tamilnadu #team
 Be come sad but because one happy 😊

ʜᴀʀᴅ ᴡᴏʀᴋ✌️
ʙᴇᴀᴛs ᴛᴀʟᴇɴᴛ ᴡʜᴇɴ💪
ᴛᴀʟᴇɴᴛ ᴅᴏᴇsɴ'ᴛ🤏

FOLLOW AS INSTGRAM ID :
https://www.instagram.com/solai_silambam_school 

FOLLOW AS YOUTUBE CHANNEL:
https://youtube.com/channel/UCDkwFu8yeLn1tok0Quux9X","Delhi, India",Tamilnadu,2026-03-13,https://www.instagram.com/p/DV1i31wkq4R/,0,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu",#tndoctors #tamilnadu 🥇💥🚀,"Chennai, India",Tamilnadu,2026-03-13,https://www.instagram.com/p/DV1ie89E15Y/,-1,0
Mahseer (All Species),Instagram_Apify_Scraper,"mahseer, tamilnadu",#tndoctors #tamilnadu 🥇💥🚀,,Tamilnadu,2026-03-13,https://www.instagram.com/p/DV1iUVikzHJ/,0,0
